"Local Area (2011 LSOA)","Name","Overall rank(2019)","Quintile","Income(2019)","Quintile","Employment(2019)","Quintile","Health(2019)","Quintile","Education(2019)","Quintile","Access to Services(2019)","Quintile","Housing(2019)","Quintile","Community Safety(2019)","Quintile","Physical Environment(2019)","Quintile",
"W01000080","W01000080 - Llanbedrog & Abersoch","1355","50% least deprived","1072","50% least deprived","1424","50% least deprived","1732","50% least deprived","1320","50% least deprived","376","11%-20% most deprived","642","31%-50% most deprived","1286","50% least deprived","1852","50% least deprived",
"W01000081","W01000081 - Llanberis","1260","50% least deprived","1003","50% least deprived","1473","50% least deprived","1189","50% least deprived","1538","50% least deprived","560","21%-30% most deprived","457","21%-30% most deprived","742","31%-50% most deprived","1319","50% least deprived",
"W01000082","W01000082 - Llandderfel & Llanuwchllyn 1","991","50% least deprived","1291","50% least deprived","1498","50% least deprived","1380","50% least deprived","1323","50% least deprived","48","10% most deprived","181","10% most deprived","1629","50% least deprived","1309","50% least deprived",
"W01000083","W01000083 - Llandderfel & Llanuwchllyn 2","1162","50% least deprived","1547","50% least deprived","1775","50% least deprived","1767","50% least deprived","1811","50% least deprived","105","10% most deprived","23","10% most deprived","1516","50% least deprived","1546","50% least deprived",
"W01000084","W01000084 - Llanengan","1378","50% least deprived","1549","50% least deprived","1706","50% least deprived","1846","50% least deprived","1495","50% least deprived","164","10% most deprived","241","11%-20% most deprived","1733","50% least deprived","1650","50% least deprived",
"W01000085","W01000085 - Llangelynin","725","31%-50% most deprived","821","31%-50% most deprived","709","31%-50% most deprived","1142","50% least deprived","1133","50% least deprived","96","10% most deprived","544","21%-30% most deprived","1170","50% least deprived","896","31%-50% most deprived",
"W01000086","W01000086 - Llanllyfni & Clynnog","748","31%-50% most deprived","860","31%-50% most deprived","1149","50% least deprived","1267","50% least deprived","1238","50% least deprived","100","10% most deprived","67","10% most deprived","922","31%-50% most deprived","1251","50% least deprived",
"W01000087","W01000087 - Llanrug","1634","50% least deprived","1329","50% least deprived","1559","50% least deprived","1017","50% least deprived","1558","50% least deprived","1602","50% least deprived","1247","50% least deprived","1465","50% least deprived","1909","50% least deprived",
"W01000088","W01000088 - Llanwnda","1046","50% least deprived","1092","50% least deprived","1254","50% least deprived","1435","50% least deprived","1437","50% least deprived","116","10% most deprived","388","21%-30% most deprived","1513","50% least deprived","1020","50% least deprived",
"W01000089","W01000089 - Llanystumdwy","1102","50% least deprived","1475","50% least deprived","1589","50% least deprived","1485","50% least deprived","1460","50% least deprived","152","10% most deprived","54","10% most deprived","1339","50% least deprived","1273","50% least deprived",
"W01000090","W01000090 - Marchog 1","300","11%-20% most deprived","184","10% most deprived","589","31%-50% most deprived","199","11%-20% most deprived","227","11%-20% most deprived","366","11%-20% most deprived","1136","50% least deprived","531","21%-30% most deprived","1875","50% least deprived",
"W01000091","W01000091 - Marchog 2","167","10% most deprived","165","10% most deprived","131","10% most deprived","98","10% most deprived","313","11%-20% most deprived","639","31%-50% most deprived","1459","50% least deprived","64","10% most deprived","1903","50% least deprived",
"W01000092","W01000092 - Menai (Bangor)","1566","50% least deprived","1897","50% least deprived","1903","50% least deprived","1761","50% least deprived","1868","50% least deprived","768","31%-50% most deprived","60","10% most deprived","1044","50% least deprived","1895","50% least deprived",
"W01000093","W01000093 - Menai (Caernarfon)","1454","50% least deprived","1435","50% least deprived","1082","50% least deprived","1321","50% least deprived","1671","50% least deprived","1187","50% least deprived","1138","50% least deprived","255","11%-20% most deprived","1836","50% least deprived",
"W01000094","W01000094 - Morfa Nefyn","1574","50% least deprived","1191","50% least deprived","1351","50% least deprived","1763","50% least deprived","1658","50% least deprived","976","50% least deprived","859","31%-50% most deprived","1449","50% least deprived","1628","50% least deprived",
"W01000095","W01000095 - Nefyn","1481","50% least deprived","1099","50% least deprived","1309","50% least deprived","1405","50% least deprived","1177","50% least deprived","1184","50% least deprived","1097","50% least deprived","1311","50% least deprived","1830","50% least deprived",
"W01000096","W01000096 - Ogwen 1","900","31%-50% most deprived","719","31%-50% most deprived","799","31%-50% most deprived","870","31%-50% most deprived","1143","50% least deprived","595","31%-50% most deprived","1046","50% least deprived","520","21%-30% most deprived","1291","50% least deprived",
"W01000097","W01000097 - Ogwen 2","901","31%-50% most deprived","752","31%-50% most deprived","585","31%-50% most deprived","842","31%-50% most deprived","1171","50% least deprived","1307","50% least deprived","682","31%-50% most deprived","551","21%-30% most deprived","1521","50% least deprived",
"W01000098","W01000098 - Peblig (Caernarfon)","155","10% most deprived","105","10% most deprived","186","10% most deprived","277","11%-20% most deprived","148","10% most deprived","332","11%-20% most deprived","620","31%-50% most deprived","204","11%-20% most deprived","1905","50% least deprived",
"W01000099","W01000099 - Penisarwaun","1349","50% least deprived","1216","50% least deprived","1381","50% least deprived","1316","50% least deprived","1754","50% least deprived","227","11%-20% most deprived","793","31%-50% most deprived","1521","50% least deprived","1794","50% least deprived",
"W01000100","W01000100 - Penrhyndeudraeth 1","1395","50% least deprived","1309","50% least deprived","1648","50% least deprived","1700","50% least deprived","1372","50% least deprived","181","10% most deprived","734","31%-50% most deprived","1574","50% least deprived","1657","50% least deprived",
"W01000101","W01000101 - Penrhyndeudraeth 2","1338","50% least deprived","1285","50% least deprived","1333","50% least deprived","1058","50% least deprived","1088","50% least deprived","909","31%-50% most deprived","473","21%-30% most deprived","1219","50% least deprived","1833","50% least deprived",
"W01000102","W01000102 - Pentir 1","1633","50% least deprived","1632","50% least deprived","1700","50% least deprived","1224","50% least deprived","1793","50% least deprived","920","31%-50% most deprived","1156","50% least deprived","529","21%-30% most deprived","1865","50% least deprived",
"W01000103","W01000103 - Pentir 2","1109","50% least deprived","1013","50% least deprived","1145","50% least deprived","1209","50% least deprived","1370","50% least deprived","198","11%-20% most deprived","883","31%-50% most deprived","988","50% least deprived","1774","50% least deprived",
